Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:MKE,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MKE,P:ORF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MKE,P:TRI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLB,P:BUR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLI,P:MCO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLU,P:ATW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MLU,P:FSM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSN,P:HTS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSN,P:RAP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSN,P:ROC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MSY,P:SBY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MTJ,P:CAE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:MYR,P:AMA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:OAJ,P:RNO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:OKC,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ORD,P:PDX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ORF,P:PIA,From Loc1 to Loc2,1.0
